id;url;menu_name;parent_id;create_time;update_time;create_user_id;update_user_id
1;https://泽洋.net;Investment Administrator Associate;20030;2021-12-30;2021-12-30;55399;4778
2;http://鹤轩.name;Industrial;57296;2021-12-30;2021-12-30;4488;88612
3;http://明哲.com;Accountability;55748;2021-12-31;2021-12-30;40029;19310
4;http://弘文.net;administration override;61953;2021-12-30;2021-12-31;24096;47324
5;https://懿轩.info;Serbian Savings GB;82874;2021-12-30;2021-12-30;54252;89376
6;https://耀杰.info;江西省;20398;2021-12-30;2021-12-30;10906;30374
7;https://文轩.name;Concrete Gorgeous;56810;2021-12-31;2021-12-30;1529;68433
8;https://健柏.info;旁 orchestrate redefine;6352;2021-12-30;2021-12-31;98518;51250
9;http://子默.com;栋;35419;2021-12-30;2021-12-31;55677;85705
10;http://思.com;compress;31852;2021-12-30;2021-12-30;93647;57876
